,BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude_3414,longitude_3414,type,timestamp
147,,,-80,-88,-86,-94,-80,-91,36472.02465,11118.24624,pseudo,1.62917E+12
148,-98,-94,-83,-88,-87,-80,-74,-93,36472.02456,11119.68187,pseudo,1.62917E+12
149,-97,-92,-78,-82,-89,-78,-68,-90,36472.02454,11120.06025,truth,1.62917E+12
150,-96,-87,-84,-93,-87,-83,-68,-85,36473.4577,11120.06034,pseudo,1.62917E+12
151,-96,-87,-90,-93,-85,-83,-83,-86,36474.89076,11120.06043,pseudo,1.62917E+12
152,-86,-84,-89,-81,-86,-75,-87,-87,36476.32392,11120.06052,pseudo,1.62917E+12
153,-88,-88,-80,-92,-82,-91,-84,-78,36476.84274,11120.06055,truth,1.62917E+12
154,-93,-85,-94,-80,-81,-80,-84,-74,36478.2758,11120.06064,pseudo,1.62917E+12
155,-96,-91,-69,-79,-100,-80,-90,-75,36479.70897,11120.06073,pseudo,1.62917E+12
156,-74,-85,-70,-92,-96,-84,-94,-62,36480.32664,11120.06077,truth,1.62917E+12
157,-89,-80,-69,-81,-98,-67,-83,-60,36480.32655,11121.4964,pseudo,1.62917E+12
158,-72,-69,-86,-87,,-89,-93,-72,36480.32649,11122.48688,truth,1.62917E+12
159,-84,-74,-76,-94,-88,-98,-95,-68,36480.32649,11122.48688,truth,1.62917E+12
160,-84,-83,-70,-91,-95,-88,-84,-67,36480.33277,11121.04012,pseudo,1.62917E+12
161,-84,-77,-63,-88,-84,-75,-84,-77,36480.33703,11120.0719,truth,1.62917E+12
162,-92,-86,-76,-76,-88,-83,-85,-80,36478.90387,11120.07181,pseudo,1.62917E+12
163,-97,-96,-76,-73,-80,-81,-76,-71,36477.4707,11120.07172,pseudo,1.62917E+12
164,-85,-100,-84,-70,-90,-80,-89,-80,36476.8182,11120.07168,truth,1.62917E+12
165,-87,-91,-89,-78,-82,-81,-78,-85,36475.38503,11120.07159,pseudo,1.62917E+12
166,-98,-92,-77,-79,-78,-74,-81,-94,36473.95197,11120.06037,pseudo,1.62917E+12
167,-96,-94,-76,-81,-82,-90,-72,-94,36472.51881,11120.06029,pseudo,1.62917E+12
168,-97,-93,-93,-83,-78,-78,-65,-85,36472.02454,11120.06025,truth,1.62917E+12
169,-93,-91,-73,-83,-82,-77,-90,-76,36472.02463,11118.61349,pseudo,1.62917E+12
170,-96,-92,-73,-85,-83,-90,-71,-93,36472.02472,11117.16673,pseudo,1.62917E+12
171,-95,-82,-72,-72,-77,-70,-88,-76,36472.02481,11115.7311,pseudo,1.62917E+12
172,-87,-88,-82,-83,-82,-77,-82,-78,36472.0249,11114.28434,pseudo,1.62917E+12
173,-90,-86,-76,-72,-87,-80,-91,-86,36472.02499,11112.8487,pseudo,1.62917E+12
174,-90,-87,-75,-73,-82,-78,-86,-81,36472.02508,11111.40194,pseudo,1.62917E+12
175,-100,-82,-80,-89,-76,-87,-84,-80,36472.0251,11111.02356,truth,1.62917E+12
176,-88,-81,-77,-72,-66,-93,-85,-81,36472.02519,11109.58793,pseudo,1.62917E+12
177,-95,-89,-89,-69,-71,-91,-83,-91,36472.02528,11108.14116,pseudo,1.62917E+12
178,-97,-96,-94,-72,-64,-100,-92,-83,36472.02537,11106.6944,pseudo,1.62917E+12
179,-97,-98,-91,-74,-68,-98,-86,-92,36472.02546,11105.25877,pseudo,1.62917E+12
180,-96,-93,-89,-75,-68,-91,-97,-81,36472.02555,11103.81201,pseudo,1.62917E+12
181,-92,-98,-80,-73,-72,-91,-82,-89,36472.02561,11102.74363,truth,1.62917E+12
182,-96,-91,-86,-81,-77,-85,-82,-88,36473.45878,11102.74372,pseudo,1.62917E+12
183,-98,-90,-86,-76,-67,-82,-83,-79,36474.89184,11102.74381,pseudo,1.62917E+12
184,-97,-95,-90,-83,-65,-93,-86,-93,36476.325,11102.7439,pseudo,1.62917E+12
185,-84,-96,-88,-80,-67,-85,-88,-83,36477.77033,11102.74399,truth,1.62917E+12
186,-86,-96,-92,-77,-75,-90,-86,-90,36479.2035,11102.74408,pseudo,1.62917E+12
187,-74,-91,-80,-73,-70,-84,-88,-77,36480.63666,11102.74417,pseudo,1.62917E+12
188,-82,-95,-88,-84,-76,-88,-90,-77,36482.06961,11102.74425,truth,1.62917E+12
189,-91,-95,-87,-80,-72,-96,-82,-91,36482.06952,11104.19102,pseudo,1.62917E+12
190,-84,-96,-94,-75,-68,-86,-82,-79,36482.06942,11105.77133,truth,1.62917E+12
191,-79,-93,-82,-64,-79,-87,-82,-82,36482.06933,11107.20696,pseudo,1.62917E+12
192,-98,-91,-83,-66,-76,-86,-92,-80,36482.06924,11108.65372,pseudo,1.62917E+12
193,-92,-91,-92,-76,-75,-82,-88,-78,36482.06916,11109.91129,truth,1.62917E+12
194,-84,-91,-82,-77,-78,-82,-84,-81,36482.06907,11111.34692,pseudo,1.62917E+12
195,-82,-87,-82,-77,-84,-77,-84,-69,36482.06898,11112.79368,pseudo,1.62917E+12
196,-81,-93,-83,-77,-91,-78,-80,-81,36482.06889,11114.24045,pseudo,1.62917E+12
197,-72,-80,-80,-90,-91,-77,-85,-72,36482.0688,11115.67608,pseudo,1.62917E+12
198,-75,-82,-80,-92,-92,-76,-86,-68,36482.06877,11116.17688,truth,1.62917E+12
199,-85,-84,-70,-78,-78,-76,-83,-73,36482.11214,11117.62365,pseudo,1.62917E+12
200,-80,-80,-73,-86,-82,-71,-74,-72,36482.15551,11119.05928,pseudo,1.62917E+12
201,-78,-84,-64,-86,-86,-77,-80,-62,36482.19876,11120.50605,pseudo,1.62917E+12
202,-82,-71,-74,-87,-91,-74,-93,-68,36482.24213,11121.94168,pseudo,1.62917E+12
203,-72,-70,-73,-80,-92,-82,-89,-68,36482.25371,11122.33119,truth,1.62917E+12
204,-82,-66,-83,-93,-100,-92,-90,-85,36481.91482,11123.73342,pseudo,1.62917E+12
205,-71,-60,-76,-87,-93,-87,-94,-77,36481.57582,11125.13564,pseudo,1.62917E+12
206,-72,-74,-86,-94,-94,-94,-95,-84,36481.23693,11126.53787,pseudo,1.62917E+12
207,-68,-68,-68,-91,-91,-83,-89,-78,36480.89793,11127.94009,pseudo,1.62917E+12
208,-68,-68,-73,-83,-97,-88,-95,-78,36480.55904,11129.34232,pseudo,1.62917E+12
209,-62,-69,-75,-94,-93,-91,-91,-86,36480.22004,11130.74454,pseudo,1.62917E+12
210,-63,-78,-79,-85,-94,-92,-97,-80,36479.88115,11132.14677,truth,1.62917E+12
211,-63,-78,-79,-85,-94,-92,-97,-80,36479.88115,11132.14677,pseudo,1.62917E+12
212,-62,-75,-83,-88,-96,-85,-93,-80,36479.88115,11132.14677,truth,1.62917E+12
213,-86,-72,-79,-86,-91,-92,-99,-85,36480.22004,11130.74454,pseudo,1.62917E+12
214,-78,-79,-80,-93,-98,-92,-95,-91,36480.55904,11129.34232,pseudo,1.62917E+12
215,-78,-82,-95,-96,-94,-87,-98,-89,36480.89793,11127.94009,pseudo,1.62917E+12
216,-72,-74,-86,-85,-95,-85,-100,-75,36481.23693,11126.53787,pseudo,1.62917E+12
217,-80,-73,-83,-88,-92,-92,-96,-88,36481.57582,11125.13564,pseudo,1.62917E+12
218,-73,-72,-91,-87,-91,-94,-93,-84,36481.91482,11123.73342,pseudo,1.62917E+12
219,-76,-84,-73,-83,-86,-88,-90,-65,36482.25371,11122.33119,truth,1.62917E+12
220,-73,-73,-56,-81,-86,-79,-78,-60,36482.21046,11120.89556,pseudo,1.62917E+12
221,-76,-77,-69,-81,-87,-72,-83,-69,36482.16709,11119.44879,pseudo,1.62917E+12
222,-82,-81,-70,-84,-92,-81,-81,-68,36482.12384,11118.01316,pseudo,1.62917E+12
223,-76,-85,-67,-74,-85,-74,-94,-73,36482.08047,11116.56639,pseudo,1.62917E+12
224,-78,-79,-79,-72,-77,-81,-82,-70,36482.06877,11116.17688,truth,1.62917E+12
225,-83,-87,-89,-74,-78,-77,-79,-75,36482.06886,11114.73012,pseudo,1.62917E+12
226,-84,-84,-80,-74,-81,-83,-82,-70,36482.06895,11113.29449,pseudo,1.62917E+12
227,-78,-88,-73,-82,-76,-85,-82,-74,36482.06904,11111.84772,pseudo,1.62917E+12
228,-92,-103,-77,-67,-76,-85,-93,-81,36482.06913,11110.41209,pseudo,1.62917E+12
229,-92,-93,-95,-63,-79,-88,-87,-82,36482.06916,11109.91129,truth,1.62917E+12
230,-88,-96,-95,-67,-80,-85,-99,-77,36482.06925,11108.46453,pseudo,1.62917E+12
231,-90,-92,-87,-74,-78,-88,-89,-76,36482.06934,11107.0289,pseudo,1.62917E+12
232,-83,-94,-92,-73,-74,-89,-95,-76,36482.06942,11105.77133,truth,1.62917E+12
233,-92,-96,-85,-69,-74,-94,-88,-84,36482.06951,11104.32456,pseudo,1.62917E+12
234,-96,-96,-96,-84,-91,-96,-86,-76,36482.06961,11102.74425,truth,1.62917E+12
235,-84,-94,-88,-78,-78,-88,-94,-90,36480.63655,11102.74417,pseudo,1.62917E+12
236,-97,-96,-90,-78,-60,-89,-92,-88,36479.20339,11102.74408,pseudo,1.62917E+12
237,-96,-96,-94,-85,-58,-94,-83,-86,36477.77033,11102.74399,truth,1.62917E+12
238,-95,-95,-82,-78,-70,-91,-88,-85,36476.33717,11102.7439,pseudo,1.62917E+12
239,-96,-91,-86,-88,-75,-89,-90,-92,36474.904,11102.74381,pseudo,1.62917E+12
240,-98,-97,-83,-91,-77,-91,-83,-92,36473.47094,11102.74372,pseudo,1.62917E+12
241,-95,-90,-93,-86,-70,-92,-98,-84,36472.02561,11102.74363,truth,1.62917E+12
242,-90,-95,-90,-68,-70,-83,-86,-81,36472.02552,11104.19039,pseudo,1.62917E+12
243,-94,-94,-100,-71,-68,-86,-83,-84,36472.02543,11105.62602,pseudo,1.62917E+12
244,-94,-97,-92,-75,-74,-87,-93,-79,36472.02534,11107.07279,pseudo,1.62917E+12
245,-96,-88,-86,-77,-70,-91,-88,-83,36472.02525,11108.51955,pseudo,1.62917E+12
246,-96,-98,-78,-72,-74,-78,-90,-84,36472.02517,11109.95518,pseudo,1.62917E+12
247,-92,-91,-74,-82,-82,-83,-80,-75,36472.0251,11111.02356,truth,1.62917E+12
248,-94,-87,-80,-71,-78,-67,-72,-85,36472.02501,11112.47032,pseudo,1.62917E+12
249,-96,-94,-81,-82,-80,-72,-85,-78,36472.02492,11113.91708,pseudo,1.62917E+12
250,-95,-90,-80,-70,-76,-77,-75,-77,36472.02483,11115.35271,pseudo,1.62917E+12
251,-96,-94,-87,-71,-83,-79,-71,-88,36472.02474,11116.79948,pseudo,1.62917E+12
252,-93,-85,-88,-84,-81,-79,-72,-77,36472.02465,11118.24624,pseudo,1.62917E+12
253,,-92,-89,-89,-84,-87,-71,-92,36472.02456,11119.68187,pseudo,1.62917E+12
254,-94,-93,-81,-84,-82,-76,-67,-79,36472.02454,11120.06025,truth,1.62917E+12
255,-91,-93,-75,-87,-82,-85,-84,-77,36473.4577,11120.06034,pseudo,1.62917E+12
256,-98,-83,-82,-81,-81,-76,-70,-78,36474.89076,11120.06043,pseudo,1.62917E+12
257,-88,-88,-66,-73,-83,-75,-70,-68,36476.32392,11120.06052,pseudo,1.62917E+12
258,-82,-84,-66,-68,-84,-70,-80,-69,36476.84274,11120.06055,truth,1.62917E+12
259,-80,-86,-69,-77,-80,-73,-77,-70,36478.2758,11120.06064,pseudo,1.62917E+12
260,-82,-77,-62,-76,-89,-80,-87,-62,36479.70897,11120.06073,pseudo,1.62917E+12
261,-71,-77,-64,-86,-89,-78,-88,-57,36480.32664,11120.06077,truth,1.62917E+12
262,-77,-72,-74,-77,-86,-67,-82,-55,36480.32655,11121.4964,pseudo,1.62917E+12
263,-72,-64,-74,-86,-100,-90,-94,-78,36480.32649,11122.48688,truth,1.62917E+12
264,-81,-71,-63,-74,-88,-95,-85,-72,36480.32649,11122.48688,truth,1.62917E+12
265,-78,-97,-61,-78,-87,-76,-94,-68,36480.33277,11121.04012,pseudo,1.62917E+12
266,-84,-78,-74,-75,-89,-74,-88,-72,36480.33703,11120.0719,truth,1.62917E+12
267,-84,-80,-67,-71,-96,-82,-76,-67,36478.90387,11120.07181,pseudo,1.62917E+12
268,-93,-95,-66,-70,-78,-78,-73,-68,36477.4707,11120.07172,pseudo,1.62917E+12
269,-95,-90,-80,-68,-86,-72,-70,-75,36476.8182,11120.07168,truth,1.62917E+12
270,-94,-84,-75,-76,-85,-80,-66,-80,36475.38503,11120.07159,pseudo,1.62917E+12
271,-88,-85,-78,-76,-82,-74,-71,-77,36473.95197,11120.06037,pseudo,1.62917E+12
