BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude,longitude,type,timestamp,
-95,-95,-82,-78,-70,-91,-88,-85,1.346148801,103.6814865,pseudo,1.62917E+12,
-96,-91,-86,-88,-75,-89,-90,-92,1.34613584,103.6814865,pseudo,1.62917E+12,
-98,-97,-83,-91,-77,-91,-83,-92,1.34612288,103.6814865,pseudo,1.62917E+12,
-95,-90,-93,-86,-70,-92,-98,-84,1.346109809,103.6814865,truth,1.62917E+12,
-90,-95,-90,-68,-70,-83,-86,-81,1.346109809,103.6814995,pseudo,1.62917E+12,
-94,-94,-100,-71,-68,-86,-83,-84,1.346109809,103.6815124,pseudo,1.62917E+12,
-94,-97,-92,-75,-74,-87,-93,-79,1.346109809,103.6815254,pseudo,1.62917E+12,
-96,-88,-86,-77,-70,-91,-88,-83,1.346109809,103.6815384,pseudo,1.62917E+12,
-96,-98,-78,-72,-74,-78,-90,-84,1.346109809,103.6815513,pseudo,1.62917E+12,
-92,-91,-74,-82,-82,-83,-80,-75,1.346109809,103.6815609,truth,1.62917E+12,
-94,-87,-80,-71,-78,-67,-72,-85,1.346109809,103.6815739,pseudo,1.62917E+12,
-96,-94,-81,-82,-80,-72,-85,-78,1.346109809,103.6815869,pseudo,1.62917E+12,
-95,-90,-80,-70,-76,-77,-75,-77,1.346109809,103.6815998,pseudo,1.62917E+12,
-96,-94,-87,-71,-83,-79,-71,-88,1.346109809,103.6816128,pseudo,1.62917E+12,
-93,-85,-88,-84,-81,-79,-72,-77,1.346109809,103.6816258,pseudo,1.62917E+12,
,-92,-89,-89,-84,-87,-71,-92,1.346109809,103.6816387,pseudo,1.62917E+12,
-94,-93,-81,-84,-82,-76,-67,-79,1.346109809,103.6816421,truth,1.62917E+12,
-91,-93,-75,-87,-82,-85,-84,-77,1.34612277,103.6816421,pseudo,1.62917E+12,
-98,-83,-82,-81,-81,-76,-70,-78,1.34613573,103.6816421,pseudo,1.62917E+12,
-88,-88,-66,-73,-83,-75,-70,-68,1.346148691,103.6816421,pseudo,1.62917E+12,
-82,-84,-66,-68,-84,-70,-80,-69,1.346153383,103.6816421,truth,1.62917E+12,
-80,-86,-69,-77,-80,-73,-77,-70,1.346166343,103.6816421,pseudo,1.62917E+12,
-82,-77,-62,-76,-89,-80,-87,-62,1.346179304,103.6816421,pseudo,1.62917E+12,
-71,-77,-64,-86,-89,-78,-88,-57,1.34618489,103.6816421,truth,1.62917E+12,
-77,-72,-74,-77,-86,-67,-82,-55,1.34618489,103.681655,pseudo,1.62917E+12,
-72,-64,-74,-86,-100,-90,-94,-78,1.34618489,103.6816639,truth,1.62917E+12,
-81,-71,-63,-74,-88,-95,-85,-72,1.34618489,103.6816639,truth,1.62917E+12,
-78,-97,-61,-78,-87,-76,-94,-68,1.346184946,103.6816509,pseudo,1.62917E+12,
-84,-78,-74,-75,-89,-74,-88,-72,1.346184984,103.6816422,truth,1.62917E+12,
-84,-80,-67,-71,-96,-82,-76,-67,1.346172023,103.6816422,pseudo,1.62917E+12,
-93,-95,-66,-70,-78,-78,-73,-68,1.346159062,103.6816422,pseudo,1.62917E+12,
-95,-90,-80,-68,-86,-72,-70,-75,1.346153161,103.6816422,truth,1.62917E+12,
-94,-84,-75,-76,-85,-80,-66,-80,1.3461402,103.6816422,pseudo,1.62917E+12,
-88,-85,-78,-76,-82,-74,-71,-77,1.34612724,103.6816421,pseudo,1.62917E+12,
-90,-86,-83,-83,-79,-71,-73,-80,1.346114279,103.6816421,pseudo,1.62917E+12,
-93,-96,-80,-76,-76,-75,-61,-80,1.346109809,103.6816421,truth,1.62917E+12,
-96,-96,-80,-72,-75,-82,-72,-82,1.346109809,103.6816291,pseudo,1.62917E+12,
-91,-86,-79,-85,-89,-91,-75,-79,1.346109809,103.6816161,pseudo,1.62917E+12,
-82,-90,-70,-69,-70,-73,-82,-69,1.346109809,103.6816032,pseudo,1.62917E+12,
-94,-86,-78,-87,-74,-70,-77,-76,1.346109809,103.6815902,pseudo,1.62917E+12,
-84,-83,-68,-72,-80,-71,-80,-71,1.346109809,103.6815773,pseudo,1.62917E+12,
